best_features,score
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jL5S1']",0.9121119263242515
"['CoMVelocityNorm', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.9094467654074601
"['centerOfMass_z', 'jointAngle_jL5S1', 'velocity1_Pelvis']",0.9069130804317578
"['centerOfMass_z', 'jointAngle_jLeftShoulder', 'velocity1_Pelvis']",0.9059063074359859
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jLeftShoulder']",0.9052713689508354
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.9005750819882418
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jRightShoulder']",0.8997622118918913
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jRightShoulder']",0.8990341833933669
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.8987806865066721
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.898421725612763
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jRightShoulder']",0.8980345365482776
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'velocity1_Pelvis']",0.8980049322270713
"['CoMVelocityNorm', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8979429147622189
"['CoMVelocityNorm', 'centerOfMass_z', 'distCoM_LeftHand']",0.8967596052138975
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.8944894289281623
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.8943086683158551
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.8930962742054922
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'velocity1_LeftHand']",0.8925293514192761
"['CoMVelocityNorm', 'centerOfMass_z', 'distCoM_RightHand']",0.8920789763183516
"['CoMVelocity_z', 'centerOfMass_z', 'jointAngle_jRightShoulder']",0.891347377281006
"['CoMVelocityNorm', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8911055576965468
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.8910298718828066
"['centerOfMass_z', 'jointAngle_jRightElbow', 'velocity1_Pelvis']",0.890992870344316
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jRightKnee']",0.8908364027864889
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.8901591287999073
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jLeftHip']",0.8900883706214641
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.8898537852171514
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.8896074822749478
"['jointAngle_jLeftHip', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8892060882422422
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.8888772498935913
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.888751913145215
"['centerOfMass_z', 'jointAngle_jLeftElbow', 'velocity1_Pelvis']",0.8886524420139265
"['centerOfMass_z', 'jointAngle_jRightKnee', 'velocity1_Pelvis']",0.888415735426587
"['centerOfMass_z', 'jointAngle_jLeftHip', 'velocity1_Pelvis']",0.8882476573100138
"['centerOfMass_z', 'distCoM_LeftHand', 'velocity1_Pelvis']",0.8882286314264699
"['CoMVelocityNorm', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.887423821615608
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_RightFoot']",0.8873651069795914
"['centerOfMass_z', 'distCoM_RightHand', 'velocity1_Pelvis']",0.8870641557799515
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jRightElbow']",0.8868414836188125
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.8867703638686882
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'velocity1_LeftFoot']",0.8865927443272889
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jRightHip']",0.8865923785269929
"['CoMVelocityNorm', 'centerOfMass_z', 'distCoM_Pelvis']",0.8864242187788962
"['centerOfMass_z', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.8862354294124508
"['jointAngle_jLeftHip', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8860704192965051
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jLeftElbow']",0.8859757216260309
"['CoMVelocity_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.885838032739421
"['CoMVelocity_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8855604448883448
"['jointAngle_jLeftHip', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8854061881307945
"['jointAngle_jLeftHip', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8853496492297898
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jLeftKnee']",0.8852170392385547
"['CoMVelocityNorm', 'centerOfMass_z']",0.8850522060533363
"['jointAngle_jRightKnee', 'jointAngle_jRightShoulder', 'velocity1_Pelvis']",0.8850022654948201
"['CoMVelocityNorm', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8847922072514913
"['centerOfMass_z', 'distCoM_LeftFoot', 'velocity1_Pelvis']",0.8847838356227453
"['jointAngle_jLeftHip', 'jointAngle_jLeftKnee', 'jointAngle_jLeftShoulder']",0.884745719810134
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.8844005213767904
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightKnee']",0.8843926526944786
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'velocity1_Pelvis']",0.8842516572290428
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'velocity1_RightHand']",0.8841039189338723
"['CoMVelocity_z', 'centerOfMass_z', 'jointAngle_jRightShoulder']",0.8837736122652171
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_RightFoot']",0.8836949491639575
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8836693751780609
"['centerOfMass_z', 'jointAngle_jRightHip', 'velocity1_Pelvis']",0.8835070712634355
"['distCoM_Pelvis', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8834025335927735
"['centerOfMass_z', 'distCoM_Pelvis', 'velocity1_Pelvis']",0.8829559581304696
"['centerOfMass_z', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8826712634327455
"['CoMVelocityNorm', 'centerOfMass_z', 'distCoM_LeftFoot']",0.8826386678502461
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8826283255513855
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'jointAngle_jRightShoulder']",0.8825800865987966
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_Pelvis']",0.8823742263449799
"['jointAngle_jLeftHip', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8822499943296641
"['centerOfMass_z', 'jointAngle_jRightHip', 'jointAngle_jRightShoulder']",0.8820971927462338
"['CoMVelocity_z', 'jointAngle_jLeftHip', 'jointAngle_jLeftShoulder']",0.8820780948582168
"['CoMVelocityNorm', 'centerOfMass_z', 'velocity1_Pelvis']",0.8817250111574981
"['jointAngle_jL5S1', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8815893738613402
"['jointAngle_jLeftHip', 'jointAngle_jRightKnee', 'jointAngle_jRightShoulder']",0.8811776519940606
"['jointAngle_jLeftHip', 'jointAngle_jLeftShoulder', 'velocity1_RightFoot']",0.88096734724407
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_RightHand']",0.8808882390575477
"['centerOfMass_z', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8807749628363044
"['CoMVelocityNorm', 'centerOfMass_z', 'jointAngle_jLeftKnee']",0.8801691669396333
"['jointAngle_jLeftHip', 'jointAngle_jRightShoulder', 'velocity1_LeftHand']",0.88011553907325
"['centerOfMass_z', 'velocity1_Pelvis']",0.8800807305545153
"['jointAngle_jLeftHip', 'jointAngle_jLeftKnee', 'jointAngle_jRightShoulder']",0.8798611882651854
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8798220326490893
"['centerOfMass_z', 'distCoM_RightFoot', 'velocity1_Pelvis']",0.8795577363083102
"['centerOfMass_z', 'jointAngle_jLeftHip', 'jointAngle_jRightShoulder']",0.8792900396664602
"['jointAngle_jRightHip', 'jointAngle_jRightShoulder', 'velocity1_LeftFoot']",0.8789569698858939
